Time,Type of Transaction,Age,Fraud
12,ATM,31.4,0
10,ATM,43.5,0
22,Online,40.1,0
10,Online,49.7,0
19,POS,43.8,0
22,ATM,45.8,0
16,POS,41.9,0
8,ATM,34.8,0
8,Online,38.8,0
15,Online,54.4,0
12,POS,25.6,0
16,Online,54.3,0
19,ATM,52.1,0
15,Online,60.5,0
19,POS,38.7,0
9,ATM,47,0
15,Online,35.3,0
13,ATM,45.2,0
11,ATM,50.6,0
17,Online,41.8,0
20,Online,56.2,0
13,Online,43,1
21,Online,26.8,0
23,ATM,46.7,0
5,POS,52.1,1
13,Online,37.7,0
11,Online,38,0
11,ATM,36.4,0
19,ATM,52.7,0
12,ATM,70,0
23,ATM,38.1,0
16,Online,34.8,0
13,ATM,36,0
11,Online,51.1,1
18,POS,54.7,0
20,POS,49.5,0
11,POS,61.3,0
15,ATM,51.6,0
10,ATM,33.5,0
7,ATM,55.7,0
22,POS,40,0
20,ATM,40.6,0
13,ATM,50.7,0
21,Online,52.3,0
7,POS,46.4,0
20,ATM,67.7,0
19,POS,30.8,0
16,POS,58.8,0
17,ATM,33.1,0
11,ATM,41.7,0
21,ATM,48,0
5,Online,33.9,1
20,POS,42.4,0
22,POS,33.2,0
15,POS,32.9,1
10,POS,32.1,0
18,POS,45.3,0
12,ATM,30.2,0
10,ATM,45.5,0
16,ATM,34.8,0
12,ATM,54.6,0
15,POS,35.6,0
8,ATM,44.9,0
8,Online,25.4,0
7,ATM,40.9,0
12,ATM,49.2,0
17,Online,48.9,0
12,POS,39.5,0
18,Online,39.5,0
9,Online,47,0
19,POS,59.8,0
2,POS,68.1,1
13,ATM,47.7,0
8,ATM,41.3,0
10,POS,47.3,0
21,Online,24.4,0
9,ATM,35,0
19,POS,37.7,0
16,Online,49.1,0
16,POS,63.1,0
19,ATM,68.2,0
11,POS,48.5,0
8,ATM,44.3,0
21,POS,45.3,0
20,ATM,42.3,0
16,POS,42,0
18,ATM,40.6,0
9,Online,42.1,0
13,Online,30.1,0
11,ATM,40.5,0
16,Online,44.2,0
13,ATM,27.7,0
17,POS,48.5,0
17,POS,44.6,0
20,ATM,41.7,0
21,POS,51.1,0
9,Online,52.7,0
12,ATM,27.1,0
10,Online,30,0
19,POS,36.1,0
21,ATM,38.3,0
10,POS,30.7,0
12,Online,51.5,0
21,Online,60.7,0
8,Online,62.7,0
19,POS,30.4,0
17,ATM,48.5,0
11,Online,34.9,0
19,POS,54.3,0
17,Online,46.8,0
11,Online,43.6,0
10,POS,46.8,0
12,Online,50.8,0
21,POS,42.5,0
7,ATM,43,0
9,ATM,53,0
10,Online,42,0
12,Online,34.8,0
12,ATM,39.2,0
19,ATM,59.8,0
6,Online,32.4,1
13,POS,39,0
7,ATM,53.6,0
22,POS,44.4,0
11,Online,47.6,0
9,Online,44.2,0
12,POS,41.7,0
23,POS,20.5,0
7,POS,54.1,0
15,ATM,40,0
7,ATM,51.1,0
18,ATM,44,0
14,Online,52.3,0
9,Online,32,0
23,ATM,40,0
7,ATM,24.2,0
23,POS,44.7,0
13,Online,42.4,0
17,Online,40.6,0
10,ATM,60.1,0
19,POS,62.4,0
21,ATM,25.2,0
18,ATM,44,0
19,ATM,43.6,0
22,ATM,32.7,0
13,POS,46.5,0
17,Online,38.5,0
19,POS,42.4,0
17,ATM,38.8,0
15,ATM,54,0
14,ATM,67.8,0
16,Online,75.8,0
15,ATM,45.4,0
20,POS,61.2,0
7,Online,37.8,0
13,ATM,44.5,0
12,Online,66.3,0
4,Online,46.1,1
19,ATM,42.3,0
10,ATM,49.6,0
12,POS,42.4,0
19,ATM,56.9,0
21,POS,40.5,0
14,ATM,48.7,0
23,POS,45.3,0
15,Online,20.2,0
20,Online,56.5,0
7,Online,66.8,0
21,ATM,47.7,0
21,ATM,43.9,0
20,POS,35.9,0
15,Online,39.9,1
17,Online,50.5,0
9,Online,46.1,0
13,Online,48.6,0
11,Online,59.1,0
10,POS,52.4,0
19,Online,40.1,0
19,ATM,37.1,0
18,Online,53,0
15,POS,44.7,0
14,Online,37,0
9,Online,43.8,0
17,POS,35.3,0
23,ATM,48.1,0
1,Online,46.9,1
22,POS,23.7,0
14,POS,50.7,0
10,ATM,44.7,0
17,POS,28.6,0
21,Online,59.3,0
19,POS,50,0
14,Online,42.6,0
14,POS,68,1
12,POS,46.6,0
14,ATM,49.9,1
22,POS,34.9,0
8,ATM,49.1,0
23,POS,42.9,0
9,Online,49.7,0
23,ATM,59.6,0
19,ATM,41.9,0
21,POS,45,0
11,Online,57.6,0
10,ATM,42.7,0
16,Online,39.9,0
7,ATM,57.3,0
15,ATM,52.4,0
23,Online,38,0
16,ATM,32.8,1
15,POS,39.1,0
9,Online,55.4,0
20,Online,30.2,0
18,Online,26.5,0
17,ATM,60.6,0
16,ATM,48.7,0
23,ATM,35.5,0
8,Online,50.3,0
6,Online,34,1
17,POS,53.2,0
8,Online,34.1,0
19,ATM,51,0
12,Online,31.6,0
7,POS,58.1,0
18,Online,53,0
17,Online,51.6,0
7,POS,56.1,0
21,ATM,35.9,0
14,ATM,52.6,0
18,Online,43.4,0
13,POS,31.2,0
15,POS,33.7,1
22,ATM,45.4,0
21,ATM,42.5,0
23,POS,49.7,0
11,ATM,39.4,0
7,Online,42.7,0
21,POS,42.2,0
4,Online,28.9,1
9,POS,40.7,0
10,POS,50,0
20,POS,52.9,0
8,POS,52.3,0
16,ATM,41.3,0
13,Online,47.7,0
21,ATM,63.1,0
8,Online,47,0
3,Online,27.1,1
19,POS,35.9,0
8,POS,57.6,0
13,POS,58,0
21,ATM,38.5,0
11,Online,25.3,0
19,POS,46.8,0
10,POS,31.8,0
23,Online,44.2,0
9,POS,32.5,0
9,POS,46.7,0
17,POS,47,0
9,Online,57.4,0
13,POS,26.3,1
22,ATM,48.1,0
9,POS,71.8,0
18,ATM,45.1,0
18,Online,55.2,0
17,ATM,54,0
23,ATM,49.4,0
14,POS,50.6,0
7,Online,31.7,0
13,Online,49.4,1
18,POS,41.5,0
19,ATM,60.3,0
3,Online,61.1,1
14,ATM,64,0
21,POS,39.6,0
18,Online,38.9,0
15,POS,46.5,0
16,Online,33.4,0
19,Online,44.2,0
14,ATM,52.4,0
21,Online,49.5,0
8,ATM,44.7,0
18,POS,46.6,0
7,Online,47.2,0
13,ATM,47.4,0
19,ATM,53.4,0
7,POS,38.2,0
16,ATM,35.2,0
8,POS,50.6,0
14,POS,35.1,0
22,Online,46.4,0
7,POS,33.6,0
20,POS,50.1,0
15,POS,45.9,0
7,Online,50.7,0
9,Online,38.5,0
21,ATM,30,0
0,Online,30.4,1
20,POS,35.7,0
13,POS,48.8,0
4,POS,39.3,1
10,POS,27.3,0
14,POS,37.2,0
13,ATM,50.8,0
19,ATM,58.6,0
9,POS,42.9,0
20,ATM,30.4,1
21,POS,49,0
10,POS,52,0
9,Online,28,0
20,POS,48.2,0
20,Online,64,0
10,ATM,38,0
17,POS,56.7,0
11,Online,44,0
9,ATM,61.8,0
23,Online,41.4,0
23,POS,47.8,0
7,Online,37.1,0
7,Online,43.6,0
14,Online,43.1,0
8,POS,48.9,0
18,ATM,46.8,0
10,Online,24.3,0
16,Online,52.7,0
9,Online,35.1,0
3,POS,37.2,1
18,ATM,61.8,0
13,Online,36.1,0
9,POS,47.5,0
7,Online,61.6,0
10,ATM,36.6,0
19,ATM,47.7,0
7,Online,39.5,0
14,Online,39.6,0
20,Online,47.7,0
18,POS,50.4,0
19,Online,47.7,0
9,POS,31.9,0
10,Online,42.1,0
12,Online,43.7,0
23,POS,57.3,0
21,ATM,50.6,0
21,POS,57.5,0
10,Online,30.8,0
17,ATM,27.8,0
10,Online,38.7,0
9,Online,42.4,0
8,ATM,57.5,0
23,Online,50.1,0
23,Online,48.7,1
20,ATM,58.4,0
8,Online,47.5,0
8,POS,44.1,0
9,POS,35.4,0
23,POS,55.6,0
13,ATM,23.1,0
10,Online,63,0
7,ATM,35.6,0
23,ATM,27.9,0
2,POS,54.2,1
8,POS,32,0
21,POS,49.8,0
5,Online,24.6,1
20,ATM,32.3,0
15,ATM,52.9,0
8,Online,44.9,0
23,ATM,35.4,0
12,ATM,45.1,0
16,ATM,68,0
12,ATM,57.2,0
18,ATM,45,0
16,ATM,48.1,0
13,ATM,51.9,0
14,Online,51.7,0
22,POS,52.8,0
16,ATM,30,0
9,Online,47.5,0
22,Online,47.2,0
7,ATM,22.8,0
21,POS,40.3,0
7,ATM,34.3,0
12,POS,37.2,0
11,Online,44,0
10,Online,55.8,0
11,ATM,19.2,0
20,Online,40.2,0
10,POS,37.2,0
23,Online,41.9,0
11,ATM,43.6,0
14,Online,29.2,0
23,POS,29.6,0
19,ATM,41.5,0
22,POS,29.8,0
18,ATM,44.5,0
16,ATM,44.3,0
22,ATM,48.1,0
1,Online,40.8,1
1,Online,37.8,1
11,Online,38.5,0
10,POS,43.5,0
4,Online,26.6,1
22,Online,43.8,0
20,Online,41.2,0
16,Online,45.9,0
12,ATM,42.9,0
7,Online,36.3,0
23,Online,57.3,0
21,POS,41.9,0
11,ATM,44.7,0
21,POS,52.8,0
1,Online,51.3,1
21,POS,62.9,0
9,POS,42.6,0
13,Online,26.2,0
18,POS,55.6,1
18,POS,65.6,0
16,POS,37.8,0
22,ATM,48.2,0
21,Online,38.6,0
15,Online,49.8,0
12,ATM,40.1,0
19,ATM,31.9,0
18,Online,30.3,0
21,POS,39.1,0
7,POS,41.4,0
9,ATM,58.7,0
8,POS,29.1,0
17,Online,43.1,0
15,ATM,35.7,0
21,POS,64.4,0
21,POS,61.8,0
12,ATM,49.8,0
22,ATM,54.6,0
20,ATM,33.2,0
10,POS,49.6,0
8,ATM,42.6,0
9,Online,53.5,0
14,ATM,42.3,1
21,ATM,49.8,0
16,ATM,35.5,1
13,Online,46.7,0
7,POS,31.8,0
15,ATM,29.4,0
22,POS,40.1,0
17,POS,45.6,0
18,Online,41.5,0
17,POS,29.3,0
21,POS,41.5,0
14,POS,53.9,0
8,ATM,67.3,0
16,ATM,57.7,0
17,Online,56.2,0
22,POS,30.4,0
11,POS,39.8,0
14,ATM,47.8,0
21,ATM,64.9,0
15,ATM,33.3,0
22,Online,38.2,0
8,ATM,30.2,0
10,POS,44.1,0
14,Online,36.1,0
7,ATM,26.3,0
21,ATM,45.1,0
18,Online,56.5,0
19,ATM,40.3,0
13,Online,54.6,0
21,ATM,50.8,0
14,ATM,65.2,0
21,Online,42.3,0
21,ATM,34.8,0
19,POS,25.9,0
11,ATM,39.8,0
10,ATM,43.6,0
11,ATM,50.1,0
12,POS,32.1,0
18,ATM,41.3,0
8,POS,39.6,0
19,POS,38.7,0
13,POS,40.8,0
15,Online,42.6,0
10,ATM,42.4,0
17,ATM,51.1,0
12,Online,57.2,0
11,ATM,29.6,0
20,Online,40.9,0
14,POS,41.2,0
16,POS,35.8,0
15,POS,63.4,0
13,ATM,51.1,0
9,POS,40.6,0
16,POS,32.2,0
18,Online,44.3,0
15,ATM,57.6,0
23,ATM,49.5,0
18,POS,38,0
19,Online,40.7,0
20,POS,27.5,0
15,Online,49.3,0
12,POS,38.7,0
1,ATM,51.6,1
14,POS,48.8,0
17,Online,39.1,0
7,Online,55.4,0
9,ATM,39.7,0
13,ATM,46.4,0
14,Online,48.2,0
13,POS,25.3,0
23,ATM,33.5,0
10,ATM,24.6,0
9,Online,34.8,0
20,POS,57.4,0
11,POS,32,0
18,POS,41.1,0
14,ATM,40.9,0
20,POS,49.6,0
16,Online,46.5,0
16,POS,50.6,0
1,POS,49.5,1
12,POS,59.4,0
19,Online,35.4,0
10,ATM,47.9,0
23,Online,29.8,0
12,ATM,51.5,0
18,ATM,53.2,0
11,Online,47,0
21,POS,54.5,0
10,Online,46,0
7,Online,36,0
15,POS,48.8,0
9,ATM,45,0
13,ATM,40.6,0
15,Online,48.5,0
11,Online,46.5,0
17,POS,42.8,0
19,ATM,52.7,0
23,ATM,47.7,0
18,Online,40.6,0
23,Online,53.4,0
8,ATM,43.9,0
20,Online,47.6,0
14,ATM,49.9,0
19,POS,38.1,0
19,ATM,41.8,0
21,Online,39.6,0
14,Online,49.9,0
19,POS,64.5,0
23,ATM,43.3,0
17,POS,44.2,0
15,Online,38.1,0
22,POS,53.7,0
10,ATM,60,0
11,POS,27.4,0
9,Online,57.6,0
20,ATM,44.3,0
7,POS,44.3,0
13,ATM,25.8,0
20,Online,33.5,1
12,POS,41.2,0
15,ATM,53.3,0
6,POS,47.6,1
12,POS,51.1,0
15,POS,52.6,0
12,Online,40.1,0
9,Online,35.9,0
14,Online,34.6,0
20,Online,48.3,0
23,Online,50.1,0
12,ATM,60.7,0
20,POS,27.6,0
23,ATM,42.3,0
10,ATM,51,0
7,Online,30.1,0
12,Online,37.2,0
17,POS,35.6,0
8,Online,45.1,0
22,Online,51.8,0
22,POS,41.5,0
2,ATM,50.5,1
16,Online,41.7,0
22,POS,52.1,0
21,Online,57,0
13,Online,63.5,0
1,POS,48,1
14,Online,40.4,0
9,Online,39.7,0
22,POS,37.4,0
23,ATM,43,0
9,ATM,49.3,0
17,Online,70,0
11,POS,55.6,0
15,ATM,39.7,0
17,Online,48.1,0
21,Online,36.7,0
14,ATM,43.9,0
18,ATM,61.3,0
11,POS,55.2,0
20,ATM,26.7,0
14,ATM,42.5,0
11,Online,52.2,0
7,POS,23,0
13,ATM,43.3,0
9,ATM,62.9,0
15,ATM,54.7,0
23,ATM,53.4,0
12,Online,32.3,0
14,Online,59.7,0
13,POS,44.4,0
23,Online,32,0
14,POS,45.8,0
8,ATM,33.6,0
23,ATM,48.8,0
11,Online,67.2,0
12,POS,36.5,1
6,Online,37.8,1
6,Online,44.5,1
18,POS,48.5,0
11,POS,56.7,0
4,POS,43.1,1
7,Online,44.8,0
23,POS,48.6,0
19,ATM,44.8,0
7,Online,44.7,0
14,Online,56.9,0
9,Online,29,0
22,Online,31.6,0
7,POS,48.1,1
10,ATM,50,0
8,ATM,37.4,0
10,ATM,38.8,0
11,POS,45.5,0
16,ATM,42.8,0
9,POS,46,0
21,Online,53.8,0
21,ATM,53.1,1
15,Online,61.5,0
11,ATM,32.6,0
14,Online,41.1,0
21,Online,51.5,0
17,Online,49.9,0
18,ATM,56.7,0
18,Online,34.5,0
18,POS,42.4,0
9,POS,38.8,0
0,Online,42.3,1
9,ATM,37.1,0
21,POS,64.2,0
15,ATM,62.8,0
19,Online,39.9,0
10,Online,52.9,0
18,Online,50.3,0
10,POS,38.8,0
14,Online,35.7,0
13,POS,38.2,0
18,ATM,28.9,0
8,POS,56.2,0
8,Online,56.8,0
18,Online,32.5,0
10,ATM,61.9,0
19,Online,48.8,0
10,ATM,35,0
19,ATM,32,0
10,Online,49.2,0
13,Online,32.1,0
9,POS,68.2,0
21,POS,36.4,0
19,Online,44.3,0
18,ATM,44.5,0
22,Online,37.5,0
19,ATM,38.8,0
22,Online,32.1,0
12,POS,41.2,0
14,ATM,53.7,0
19,POS,51.1,0
14,Online,47.3,0
14,ATM,39.1,0
19,Online,36,0
11,Online,30.9,0
9,POS,42.2,0
18,Online,54.4,0
14,Online,33.8,0
14,POS,34,0
18,Online,33.6,1
11,Online,35.3,0
10,Online,31.6,0
22,ATM,27,0
19,POS,55,0
23,Online,43.1,0
0,Online,50.8,1
8,ATM,25.7,0
6,Online,60.4,1
13,Online,42.2,0
18,Online,21.7,0
7,ATM,47.7,0
16,POS,52.7,0
10,Online,34.9,0
12,POS,50.7,0
16,POS,43.2,0
16,Online,46.1,0
20,POS,46.4,0
17,POS,38.2,0
23,ATM,59,0
12,Online,38.8,0
16,POS,41.2,0
21,ATM,38.4,0
19,POS,21.2,0
14,POS,55.1,0
8,POS,44.2,0
18,Online,45.2,0
8,Online,27.8,0
21,ATM,37.1,0
22,POS,39.1,0
15,ATM,40.6,0
12,Online,38.2,0
7,Online,53,0
9,ATM,59.8,0
18,POS,45.7,0
14,ATM,51.3,0
12,POS,38.3,0
9,ATM,44.5,0
15,Online,45.8,0
12,ATM,32.7,0
17,POS,39.2,0
13,ATM,37.6,0
8,POS,54.3,0
7,Online,34.6,0
15,ATM,57,0
13,ATM,44,0
19,POS,33.1,0
8,POS,31.7,0
9,POS,25.3,0
8,ATM,49.1,0
16,ATM,55.6,0
19,Online,47.7,0
23,ATM,61.7,0
17,Online,31.1,0
21,ATM,38.8,0
11,POS,67,0
19,POS,42.7,0
10,ATM,31.6,0
10,ATM,57.7,0
8,Online,37.5,0
15,POS,53.2,0
20,Online,43.6,0
10,POS,46.4,0
9,POS,57.3,0
15,POS,29.8,0
20,Online,51,0
15,Online,43.2,0
21,Online,39.9,0
20,POS,45.7,0
20,POS,52.3,0
12,Online,49.5,0
14,ATM,50.4,0
17,Online,37.6,0
16,ATM,42.2,0
21,POS,45.5,0
9,POS,39.6,0
15,ATM,36.5,0
9,ATM,47.9,0
7,POS,50.3,0
10,Online,53.5,0
22,POS,43.7,0
23,ATM,36.8,0
4,Online,40.1,1
20,ATM,39.3,0
23,ATM,31.3,0
12,ATM,46.3,0
19,Online,46.8,0
10,ATM,49.7,0
15,Online,50.6,0
23,POS,32.5,0
13,ATM,39.6,0
22,Online,26.4,0
9,ATM,43.2,0
21,ATM,34.8,0
12,Online,51.3,0
10,POS,46.7,0
20,Online,44.5,0
18,ATM,46.1,0
14,POS,50.6,0
13,ATM,55.1,0
10,Online,43.1,0
7,Online,40.2,0
15,Online,69.8,0
13,Online,23.6,0
10,Online,29.1,0
19,ATM,40.3,0
8,POS,50,0
9,ATM,64,0
4,POS,52.2,1
10,ATM,43.1,0
18,ATM,54,0
10,ATM,49.1,0
18,Online,56.1,0
8,Online,47.7,0
10,POS,61.5,0
17,Online,47.2,0
12,POS,42.2,0
14,Online,62.5,0
16,ATM,41.1,0
9,Online,40.7,0
21,Online,40.4,0
6,ATM,48.2,1
8,Online,43.3,0
20,POS,33.7,0
11,Online,51.6,0
9,ATM,58.3,0
9,POS,44.5,0
16,POS,40.2,0
23,POS,52.1,0
13,Online,32,0
23,POS,49.7,0
10,ATM,44.4,0
8,POS,47.9,0
20,ATM,30,0
16,ATM,33.8,0
23,POS,58.1,0
18,Online,22.9,0
17,Online,44.9,0
13,ATM,36.9,0
19,Online,50.1,0
21,ATM,27.5,0
18,Online,26.6,0
13,POS,45.8,0
1,Online,47.8,1
8,Online,42.3,0
21,POS,52.9,0
7,POS,52.6,0
19,POS,44.3,0
22,Online,35.8,0
9,ATM,37.9,0
13,POS,57.9,0
8,POS,61.1,0
11,Online,28.8,0
20,POS,48,0
20,Online,48.3,0
19,Online,64.5,0
23,Online,54.8,0
20,Online,32.4,0
19,POS,56,0
17,Online,41.6,0
15,POS,41.3,0
15,POS,50.4,0
17,POS,54.6,0
22,Online,48.5,0
10,POS,30.3,0
14,POS,37.2,0
8,ATM,44.6,0
12,POS,60.6,0
5,POS,43.1,1
13,ATM,53.2,0
19,Online,39.3,0
13,POS,36.4,0
15,ATM,23.7,0
7,ATM,47.8,0
20,POS,65.5,0
13,POS,18.1,0
13,Online,65.4,0
11,POS,28.6,0
9,ATM,51.3,0
13,Online,54.4,0
7,ATM,52.9,0
7,POS,53.7,0
23,ATM,55.4,0
14,POS,39.3,0
15,POS,31.4,0
12,ATM,57.8,0
23,POS,41.9,0
16,ATM,46.1,0
23,POS,47,0
17,Online,44.5,0
12,Online,44,0
8,Online,62.2,0
14,Online,49.3,0
15,ATM,68.2,0
7,ATM,44.4,0
9,Online,54.5,0
8,ATM,56.7,0
20,POS,49.8,0
23,Online,45.3,0
20,Online,37.5,0
12,Online,39.1,0
15,Online,38,0
22,POS,43.1,0
7,ATM,47.5,0
16,POS,53.1,0
23,ATM,33.4,0
22,POS,39.7,0
11,POS,46.5,0
19,ATM,36.2,0
20,ATM,48.5,0
23,ATM,30.4,0
23,Online,40.1,0
8,Online,60.2,0
9,Online,47.1,0
9,POS,28.2,0
16,ATM,39.7,0
15,Online,49.8,0
9,Online,57,0
15,POS,46.9,0
16,ATM,44,0
15,ATM,32.9,0
10,Online,44.5,0
9,ATM,62,0
12,POS,50.7,0
9,ATM,58.2,0
16,POS,39.9,0
13,POS,38.7,0
22,ATM,60.6,0
12,POS,39.2,0
9,POS,38.4,0
19,ATM,43.2,0
18,POS,55.4,0
15,ATM,44.2,0
10,Online,60.6,0
22,Online,49.9,0
14,ATM,31.1,0
22,Online,54.8,0
13,POS,49.3,0
8,Online,49.4,0
18,ATM,43.2,0
19,ATM,43.4,0
13,ATM,54,0
13,Online,61,0
9,ATM,63.6,0
21,Online,39.3,0
18,Online,50,0
14,POS,40.4,1
10,Online,42.8,0
17,POS,53,0
22,POS,26.9,0
16,Online,38,0
17,Online,48.9,0
21,Online,51.6,0
17,Online,44.9,0
16,ATM,43.2,0
9,POS,40.1,0
7,POS,30.7,0
23,POS,59.8,0
11,ATM,51.6,0
1,Online,48.6,1
8,POS,45.5,0
17,ATM,45.9,0
19,ATM,48.9,0
22,ATM,40.3,0
12,Online,39.7,0
17,Online,54.2,0
21,POS,36.9,0
10,ATM,30.8,0
15,POS,55.5,0
8,POS,57.8,0
13,Online,60,0
16,Online,41.2,0
12,ATM,46.7,0
14,POS,26.7,0
12,POS,65.3,0
14,POS,45.2,0
23,ATM,28.2,0
23,ATM,57.1,0
20,POS,42.1,0
19,POS,38.9,0
11,ATM,41.6,0
16,POS,52,0
14,ATM,52.9,0
10,ATM,52.3,0
22,ATM,23.9,0
10,ATM,55.1,0
8,Online,30.3,0
15,Online,42.4,0
13,POS,47.1,0
7,ATM,51.5,0
17,Online,34.6,0
22,Online,49.7,0
14,POS,45.9,0
19,ATM,57.5,0
10,ATM,40.6,0
9,ATM,52.1,0
21,ATM,33.3,0
12,Online,38,0
10,Online,54.2,1
19,POS,74.2,0
22,ATM,48.9,0
16,POS,45.9,0
18,ATM,76.9,1
15,Online,45,0
12,ATM,35.2,0
10,POS,49.3,0
22,ATM,51.6,0
11,ATM,49.1,0
22,ATM,41.7,0
14,Online,52.4,0
17,POS,35.4,0
19,ATM,38.4,0
17,ATM,48.1,0
16,ATM,42.6,0
12,POS,52.7,0
17,Online,52.8,0
12,ATM,30.9,0
18,Online,44.7,1
18,Online,57.3,0
11,ATM,49.4,0
7,ATM,39.5,0
15,POS,52.2,0
20,ATM,25.5,0
7,Online,44.9,0
22,Online,48.7,0
8,Online,47.1,0
9,POS,38.2,0
8,ATM,35.2,0
20,Online,44.8,0
9,Online,55.4,0
7,ATM,40.8,0
9,POS,50.2,0
17,POS,42.3,0
9,ATM,42.6,0
14,POS,36.4,1
13,Online,39,0
11,POS,42.3,0
4,POS,43.6,1
8,Online,46,0
23,Online,41.4,0
17,Online,53.8,0
7,POS,36,0
5,Online,49.9,1
5,POS,40.5,1
16,Online,52.9,0
16,ATM,28.3,0
14,ATM,55.2,0
21,Online,54.5,0
3,Online,32.5,1
21,POS,55.6,0
18,ATM,45.9,0
16,POS,35.6,0
8,POS,60,0
8,ATM,36.7,0
14,ATM,42.9,0
8,ATM,40.6,0
8,ATM,37.1,0
10,POS,55.8,1
20,Online,50.5,0
17,ATM,63.8,0
22,POS,47,1
8,ATM,46.8,0
13,POS,46,0
7,POS,35.9,0
13,POS,67.7,0
23,ATM,58.3,0
14,Online,48.1,0
14,ATM,50.6,0
16,ATM,32.9,0
8,Online,42.6,0
16,POS,30.6,0
12,ATM,45.6,0
8,ATM,51,0
15,Online,47.5,0
7,POS,56.8,0
16,ATM,54.6,0
20,Online,38.3,0
10,ATM,45.6,0
0,Online,53.5,1
10,Online,52.1,0
7,POS,44.1,0
14,Online,57.9,0
7,ATM,34.6,0
12,Online,46.7,0
10,ATM,25.8,0
15,ATM,35.5,0
5,POS,55.7,1
7,ATM,56.7,0
6,ATM,55.1,1
22,POS,43.9,0
18,Online,38.4,0
16,POS,51.8,0
22,ATM,38.2,0
12,Online,43.8,0
12,ATM,55.2,0
22,ATM,59.6,0
22,POS,64.4,0
20,Online,48.1,0
12,Online,31.2,0
17,Online,49.3,0
22,POS,39.8,0
13,POS,22.6,0
22,POS,41.8,0
10,ATM,36.1,0
8,POS,56.8,0
8,POS,45.4,0
17,POS,33.5,0
9,Online,58,1
7,POS,61.9,0
13,ATM,59.8,0
12,POS,48.1,0
20,ATM,60.8,0
10,ATM,48.2,0
10,POS,51.9,0
10,ATM,42.7,0
9,ATM,34.6,0
15,ATM,44.4,0
22,Online,33.7,0
13,POS,62.7,0
16,POS,42.3,0
13,POS,59.8,0
13,ATM,37.3,0
13,POS,51.8,0
18,POS,50,0
23,Online,39.4,0
23,Online,50.3,0
8,Online,58.8,0
3,Online,38.6,1
18,Online,31.7,0
13,Online,23.4,0
9,Online,41.5,0
21,ATM,51.3,0
20,Online,33.7,0
11,POS,50.1,1
10,Online,46.8,0
19,ATM,43.8,0
20,POS,40.4,0
10,POS,57.9,0
14,ATM,40.1,0
22,ATM,38.1,0
14,POS,38.5,0
11,POS,39.8,0
10,ATM,31.8,0
7,ATM,50.8,0
11,Online,40.4,0
21,ATM,54.5,0
12,Online,45,0
19,ATM,52.8,0
7,Online,45.8,0
18,POS,47,0
15,POS,47.4,0
22,ATM,50.3,0
7,ATM,38.4,0
20,POS,43.6,0
23,ATM,51.8,0
20,ATM,34.2,0
19,POS,35.9,0
8,ATM,38.3,0
18,ATM,48.5,0
12,Online,27.4,0
19,ATM,42.9,0
11,POS,38.1,0
8,Online,21.9,0
21,ATM,48.4,0
23,ATM,35.1,0
2,POS,64.2,1
5,POS,49.4,1
9,POS,63.5,0
19,Online,52.9,0
13,Online,55.5,1
2,Online,33,1
17,Online,45,0
18,POS,43,0
21,Online,48.4,0
20,POS,35.4,0
7,ATM,43.4,0
17,POS,49.6,0
12,Online,53.6,0
13,POS,53.8,0
9,Online,32.3,0
15,POS,43.7,0
10,POS,58.9,0
12,Online,40.8,0
17,Online,56.3,0
10,ATM,21.4,0
8,Online,51.1,1
20,ATM,27.6,0
8,ATM,62.3,0
11,POS,36.5,0
17,Online,49.7,0
14,POS,39.4,0
8,Online,43.9,0
8,Online,67.3,0
14,ATM,47.1,0
23,Online,38.2,0
12,Online,54.2,0
20,POS,50.1,0
16,Online,34.4,0
17,Online,41,0
14,POS,43.9,0
19,Online,51.5,0
20,ATM,50.9,0
20,POS,49,0
17,Online,39.3,0
16,ATM,42,0
3,POS,42.2,1
21,Online,37,0
20,POS,70.3,0
10,POS,52.8,0
14,Online,23.9,0
13,Online,45.6,0
22,POS,42.2,0
7,POS,62.1,0
11,POS,33.4,0
21,POS,56.3,0
11,ATM,51.9,0
19,ATM,37.6,0
17,ATM,57.4,0
20,POS,60.6,0
19,POS,43.7,0
14,Online,53.2,0
18,Online,58.2,0
23,Online,61.1,0
17,ATM,41,0
23,Online,61.9,0
16,Online,40.5,0
10,Online,32.4,0
15,Online,53,0
19,POS,39.8,0
22,ATM,41.3,0
21,ATM,47.1,0
21,POS,39.7,0
19,ATM,37,0
23,POS,39.5,0
10,Online,46,0
10,ATM,46.6,0
14,ATM,32.3,0
12,ATM,51.3,0
8,ATM,30.8,0
9,Online,42.2,0
10,ATM,46,0
16,ATM,32.3,0
7,Online,53.1,0
19,POS,57.8,0
22,ATM,21.9,0
11,Online,24.5,0
10,Online,43.8,0
9,ATM,46.2,0
13,POS,49.9,0
23,POS,36.5,0
15,Online,46.8,0
19,ATM,65.5,0
11,Online,54,1
7,ATM,41.8,0
10,POS,47.2,0
17,ATM,27.3,0
10,Online,53.1,0
7,Online,50.4,0
23,ATM,28.9,0
21,ATM,47.7,0
15,Online,34.7,0
12,ATM,50.1,0
11,Online,42.1,0
16,POS,60.9,0
10,Online,33.5,0
23,POS,48.3,0
7,ATM,39,0
23,POS,45.1,0
22,POS,41.2,0
19,Online,43.6,0
9,ATM,44.6,0
15,Online,50.6,0
7,Online,40.7,0
